epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8843,0,19.907,0,0,0,0,0,0,27.0459,0,0.099005,5e-06,5e-06
2,27.3329,0,10.9578,0,0,0,0,0,0,15.1149,0,0.097015,1.49975e-05,1.49975e-05
3,39.4093,0,6.14801,0,0,0,0,0,0,8.50098,0,0.095025,2.4983e-05,2.4983e-05
4,50.824,0,3.50051,0,0,0,0,0,0,4.86646,0,0.0930349,3.49466e-05,3.49466e-05
5,62.0789,0,2.27492,0,0,0,0,0,0,3.73449,0,0.0910449,4.4878e-05,4.4878e-05
6,73.3272,0,1.74173,0,0,0,0,0,0,2.8866,0,0.0890548,5.47671e-05,5.47671e-05
7,84.5897,0,1.34109,0,0,0,0,0,0,2.24986,0,0.0870646,6.46039e-05,6.46039e-05
8,95.894,0,1.04022,0,0,0,0,0,0,1.76563,0,0.0850744,7.43783e-05,7.43783e-05
9,107.292,0,0.81114,0,0,0,0,0,0,1.3927,0,0.0830841,8.40806e-05,8.40806e-05
10,119.625,0,0.63716,0,0,0,0,0,0,1.10841,0,0.0810937,9.37007e-05,9.37007e-05
11,131.588,0,0.50401,0,0,0,0,0,0,0.88512,0,0.0791032,0.000103229,0.000103229
12,143.063,0,0.4009,0,0,0,0,0,0,0.88512,0,0.0771127,0.000112656,0.000112656
13,154.526,0,0.36342,0,0,0,0,0,0,0.71715,0,0.075122,0.000121972,0.000121972
14,166.313,0,0.32119,0,0,0,0,0,0,0.58443,0,0.0731312,0.000131167,0.000131167
15,177.8,0,0.26007,0,0,0,0,0,0,0.58443,0,0.0711402,0.000140233,0.000140233
16,189.693,0,0.23729,0,0,0,0,0,0,0.48293,0,0.0691492,0.00014916,0.00014916
17,204.078,0,0.21175,0,0,0,0,0,0,0.39921,0,0.0671579,0.000157939,0.000157939
18,217.59,0,0.1744,0,0,0,0,0,0,0.39921,0,0.0651666,0.000166561,0.000166561
19,230.184,0,0.17475,0,0,0,0,0,0,0.33975,0,0.063175,0.000175019,0.000175019
20,242.528,0,0.14531,0,0,0,0,0,0,0.33975,0,0.0611833,0.000183303,0.000183303
21,255.568,0,0.14548,0,0,0,0,0,0,0.29388,0,0.0591914,0.000191405,0.000191405
22,268.999,0,0.12162,0,0,0,0,0,0,0.29388,0,0.0571993,0.000199317,0.000199317
23,282.291,0,0.12166,0,0,0,0,0,0,0.24779,0,0.055207,0.000207032,0.000207032
24,294.436,0,0.10488,0,0,0,0,0,0,0.24779,0,0.0532145,0.000214541,0.000214541
25,308.166,0,0.10484,0,0,0,0,0,0,0.22362,0,0.0512218,0.000221839,0.000221839
26,321.007,0,0.08856,0,0,0,0,0,0,0.22362,0,0.0492289,0.000228916,0.000228916
27,333.679,0,0.08864,0,0,0,0,0,0,0.22362,0,0.0472358,0.000235767,0.000235767
